Census year,Construction year,Number of floors (above ground),Predominant space use,x,y,Latitude,longitude
2017,,1,Entertainment/Recreation - Indoor,144.9172,-37.8299,-37.82989992,144.9171737
2017,1938,2,Entertainment/Recreation - Indoor,144.9572,-37.8189,-37.81889999,144.9571905
2017,,2,House/Townhouse,144.9737,-37.8009,-37.80093399,144.9736523
2017,,2,House/Townhouse,144.9661,-37.7984,-37.79838783,144.9661089
2017,2011,3,House/Townhouse,144.9374,-37.8227,-37.82269878,144.9374218
2017,0,1,Unoccupied - Under Construction,144.9316,-37.7922,-37.79217993,144.9316342
2017,,2,House/Townhouse,144.9487,-37.8021,-37.80208011,144.948717
2017,1895,2,Retail - Shop,144.9617,-37.8119,-37.81190946,144.9616554
2017,,3,Residential Apartment,144.9437,-37.7939,-37.79389769,144.9436709
2017,2006,2,House/Townhouse,144.9409,-37.7798,-37.77982847,144.9408756
2017,1850,2,Entertainment/Recreation - Indoor,144.9497,-37.8044,-37.80435618,144.9497254
2017,2009,3,Residential Apartment,144.982,-37.8354,-37.83539099,144.9819791
2017,1999,2,House/Townhouse,144.9197,-37.7971,-37.79708996,144.9196577
2017,2010,1,Community Use,144.9237,-37.7977,-37.79767091,144.9236556
2017,,1,House/Townhouse,144.9905,-37.8115,-37.81146018,144.9904791
2017,,2,House/Townhouse,144.986,-37.8337,-37.83365441,144.9859553
2017,,1,House/Townhouse,144.9338,-37.796,-37.7959712,144.9337875
2017,,2,House/Townhouse,144.9721,-37.7988,-37.79878832,144.9721166
2017,1990,1,Manufacturing,144.9041,-37.8293,-37.82925157,144.9041284
2017,,2,House/Townhouse,144.9444,-37.7959,-37.79586942,144.9444442
2017,,2,House/Townhouse,144.9665,-37.7966,-37.79656237,144.9664773
2017,1964,11,Office,144.9603,-37.817,-37.81699194,144.960308
2017,,1,House/Townhouse,144.9255,-37.7947,-37.79469729,144.9254885
2017,1990,2,House/Townhouse,144.9194,-37.7962,-37.79620722,144.9193962
2017,,1,House/Townhouse,144.947,-37.796,-37.79599301,144.9469848
2017,,12,Office,144.9843,-37.8158,-37.81583713,144.9843028
2017,1992,2,House/Townhouse,144.925,-37.7893,-37.7893132,144.9250221
2017,,1,House/Townhouse,144.9495,-37.7992,-37.79924904,144.9495272
2017,1901,2,Office,144.9555,-37.8069,-37.80694464,144.9554711
2017,,1,House/Townhouse,144.9485,-37.8025,-37.80254326,144.9485054
2017,1900,1,House/Townhouse,144.9295,-37.7923,-37.79226217,144.9295404
2017,1869,3,Retail - Shop,144.964,-37.8146,-37.81457615,144.9639641
