Census year,Property ID,Base property ID,Street address,CLUE small area,Construction year,Predominant space use,x coordinate,y coordinate
2014,101162,101161,651 Bourke Street,Melbourne (CBD),1880,Public,144.9549,-37.8172
2014,108424,108424,194-208 Rosslyn Street,West Melbourne (Residential),1990,Commercial,144.9481,-37.8096
2014,101329,101329,34-70 Bruce Street,Kensington,1950,Retail,144.9351,-37.7987
2014,102225,102225,91 Courtney Street,North Melbourne,,Residential,144.951,-37.8
2014,104085,104085,167-175 Franklin Street,Melbourne (CBD),1928,Commercial,144.9592,-37.809
2014,102658,102658,171 Drummond Street,Carlton,1870,Residential,144.9677,-37.8023
2014,110830,110830,16 Greenham Place,Kensington,,Residential,144.9208,-37.7917
2014,110167,110167,61 Willis Street,Kensington,,Residential,144.9187,-37.7935
2014,578327,573333,2 Swanston Street,Melbourne (CBD),2002,Public,144.9705,-37.8178
2014,100325,100325,27-29 Albert Street,East Melbourne,,Residential,144.99,-37.8115
2014,108164,108164,237 Rathdowne Street,Carlton,1870,Residential,144.9694,-37.8015
2014,619141,619141,33 Cliveden Close,East Melbourne,2008,Residential,144.9766,-37.8171
2014,102422,102422,18 David Street,Carlton,,Residential,144.9721,-37.797
2014,100645,100645,29-35 Baillie Street,North Melbourne,1930,Retail,144.9471,-37.8016
2014,636575,636575,18 Temperance Hall Lane,North Melbourne,2013,Residential,144.952,-37.8028
2014,100726,100726,2 Bangalore Street,Kensington,,Residential,144.9259,-37.793
2014,556146,556146,88-90 Fairbairn Drive,Kensington,1999,Residential,144.9197,-37.7972
2014,107971,107971,618-622 Queensberry Street,North Melbourne,1930,Retail,144.9468,-37.8025
2014,105717,105717,605-611 Lonsdale Street,Melbourne (CBD),1895,Commercial,144.9542,-37.815
2014,108324,108324,26 The Ridgeway,Kensington,,Residential,144.9255,-37.7941
2014,104518,104518,71 Grey Street,East Melbourne,,Residential,144.9871,-37.8123
2014,614555,614555,1 McConnell Street,Kensington,1900,Residential,144.9287,-37.7899
2014,101834,101834,109 Chapman Street,North Melbourne,,Residential,144.9471,-37.7956
2014,603430,603430,2 Frearson Walk,Kensington,,Residential,144.9233,-37.7949
2014,533327,533327,2-6 High Street,North Melbourne,2004,Residential,144.9539,-37.7999
2014,107521,107521,198-210 Peel Street,North Melbourne,,Residential,144.9568,-37.8029
2014,105394,105394,62-66 King Street,Melbourne (CBD),1854,Commercial,144.9571,-37.8187
2014,637396,637396,68 South Wharf Drive,Docklands,2012,Residential,144.937,-37.8221
2014,606537,606537,16 Parkville Avenue,Parkville,2006,Residential,144.9415,-37.7807
2014,106737,106737,20-24 Mona Place,South Yarra,,Residential,144.986,-37.8368
2014,599616,599616,27-45 Sabre Drive,Port Melbourne,,Public,144.9072,-37.8272
2014,614972,614972,38 Parsons Street,Kensington,1900,Residential,144.9332,-37.7902
2014,100158,100158,213-219 A'Beckett Street,Melbourne (CBD),1929,Residential,144.9574,-37.8105
2014,608424,608424,69 Parkville Avenue,Parkville,2006,Residential,144.9416,-37.7777
2014,100732,100732,24-30 Barkly Place,Carlton,2006,Residential,144.9614,-37.803
2014,110556,110556,190-206 Turner Street,Port Melbourne,1998,Commercial,144.933,-37.8247
2014,515537,515537,8 Goldie Place,Melbourne (CBD),1888,Public,144.9608,-37.8135
2014,106165,106165,403-405 Lygon Street,Carlton,,Residential,144.9676,-37.7951
2014,108332,108332,6 The Ridgeway,Kensington,,Residential,144.9262,-37.7937
2014,100806,100806,46-56 Barkly Street,Carlton,1993,Residential,144.9734,-37.7985
2014,574430,106250,116 Lygon Street,Carlton,,Public,144.9667,-37.8044
2014,107774,107774,35-37 Punch Lane,Melbourne (CBD),1989,Residential,144.9706,-37.8102
2014,103593,103593,45-47 Exhibition Street,Melbourne (CBD),1970,Commercial,144.9715,-37.8149
2014,106698,106698,76 Molesworth Street,North Melbourne,,Residential,144.9477,-37.7968
2014,110792,110792,81 The Crescent,Kensington,,Residential,144.9184,-37.7944
2014,108403,108403,48 Roden Street,West Melbourne (Residential),,Residential,144.9492,-37.8064
2014,110247,110247,14 Wood Street,North Melbourne,,Residential,144.9457,-37.7972
2014,102297,102297,23 Curran Street,North Melbourne,,Residential,144.9434,-37.7927
2014,101565,101565,62 Capel Street,West Melbourne (Residential),,Residential,144.9553,-37.8067
2014,101341,101341,58-62 Byron Street,North Melbourne,2012,Residential,144.9504,-37.8016
2014,636918,636918,6 Curzon Place,North Melbourne,2013,Residential,144.9483,-37.804
2014,104579,104579,43-47 Haines Street,North Melbourne,,Residential,144.9478,-37.799
2014,603439,603439,38 Jeffcott Street,West Melbourne (Residential),2008,Residential,144.952,-37.8116
2014,632882,632882,11 Augusta Avenue,Docklands,2011,Residential,144.9376,-37.816
2014,107011,107011,21 Ormond Street,Kensington,,Residential,144.9302,-37.7972
2014,102725,102725,294-300 Drummond Street,Carlton,1987,Residential,144.969,-37.7991
2014,535391,535391,5 Walsh Street,West Melbourne (Residential),1995,Residential,144.9544,-37.8081
2014,100191,100191,30 Adams Street,South Yarra,,Residential,144.9777,-37.8363
2014,607958,607958,153-185 Langford Street,North Melbourne,,Public,144.9364,-37.7956
2014,615185,615185,46-50 McCracken Street,Kensington,1900,Residential,144.9275,-37.7915
2014,110702,110701,28 Corrs Lane,Melbourne (CBD),1885,Public,144.9682,-37.8108
